customer_id,customer_name,customer_email,activity_status,grain_type,storage_start_date,storage_end_date,total_bags,total_weight_kg,storage_duration_days,monthly_rent_per_bag,total_rent_paid,sold_status,sale_price_per_kg,total_sale_amount,sale_date,profit_loss
1720,Customer_1720,customer1720@mail.com,stored,Rice,2023-03-31,2023-05-29,57,2850,59,40,4484.0,partial,37,0,2023-05-29,-4484.0
1018,Customer_1018,customer1018@mail.com,storing,Barley,2024-03-08,2024-08-19,137,6850,164,28,20970.13,yes,47,321950,2024-08-19,300979.87
1187,Customer_1187,customer1187@mail.com,stored,Sorghum,2024-07-10,2024-10-02,145,3625,84,52,21112.0,no,29,105125,2024-10-02,84013.0
1315,Customer_1315,customer1315@mail.com,stored,Millet,2024-03-26,2024-04-20,35,875,25,28,816.67,yes,42,0,2024-04-20,-816.67
1865,Customer_1865,customer1865@mail.com,sold,Maize,2024-02-14,2024-04-25,194,9700,71,57,26170.6,yes,40,0,2024-04-25,-26170.6
430,Customer_430,customer430@mail.com,stored,Wheat,2024-07-30,2024-12-28,194,9700,151,45,43941.0,yes,44,426800,2024-12-28,382859.0
1579,Customer_1579,customer1579@mail.com,stored,Millet,2023-07-14,2023-11-16,42,1050,125,52,9100.0,yes,30,31500,2023-11-16,22400.0
513,Customer_513,customer513@mail.com,stored,Barley,2024-06-16,2024-09-26,21,525,102,51,3641.4,partial,41,0,2024-09-26,-3641.4
1649,Customer_1649,customer1649@mail.com,sold,Millet,2024-05-12,2024-10-01,171,4275,142,22,17806.8,no,39,166725,2024-10-01,148918.2
1341,Customer_1341,customer1341@mail.com,sold,Maize,2023-01-07,2023-04-19,132,6600,102,31,13912.8,yes,25,165000,2023-04-19,151087.2
254,Customer_254,customer254@mail.com,storing,Maize,2023-11-18,2024-02-03,77,3850,77,54,10672.2,yes,37,0,2024-02-03,-10672.2
163,Customer_163,customer163@mail.com,sold,Barley,2023-10-04,2024-01-09,21,525,97,41,2783.9,yes,43,22575,2024-01-09,19791.1
522,Customer_522,customer522@mail.com,storing,Millet,2024-01-04,2024-04-25,127,6350,112,40,18965.33,partial,31,0,2024-04-25,-18965.33
508,Customer_508,customer508@mail.com,stored,Wheat,2023-06-10,2023-09-03,100,5000,85,27,7650.0,partial,32,160000,2023-09-03,152350.0
153,Customer_153,customer153@mail.com,stored,Wheat,2023-09-28,2023-11-25,75,3750,58,34,4930.0,partial,49,183750,2023-11-25,178820.0
647,Customer_647,customer647@mail.com,stored,Maize,2024-07-17,2024-10-23,57,1425,98,40,7448.0,yes,44,62700,2024-10-23,55252.0
1952,Customer_1952,customer1952@mail.com,storing,Wheat,2024-01-01,2024-01-22,16,800,21,26,291.2,partial,37,29600,2024-01-22,29308.8
1942,Customer_1942,customer1942@mail.com,sold,Sorghum,2023-10-06,2023-11-13,148,3700,38,60,11248.0,partial,37,136900,2023-11-13,125652.0
249,Customer_249,customer249@mail.com,storing,Wheat,2024-07-16,2024-08-01,136,3400,16,35,2538.67,yes,49,0,2024-08-01,-2538.67
903,Customer_903,customer903@mail.com,sold,Barley,2023-10-22,2024-04-14,52,2600,175,37,11223.33,no,48,124800,2024-04-14,113576.67
241,Customer_241,customer241@mail.com,sold,Rice,2024-03-10,2024-07-24,18,900,136,39,3182.4,yes,43,38700,2024-07-24,35517.6
1449,Customer_1449,customer1449@mail.com,sold,Maize,2023-11-22,2023-12-13,187,4675,21,25,3272.5,partial,49,0,2023-12-13,-3272.5
951,Customer_951,customer951@mail.com,sold,Millet,2024-08-20,2025-02-10,37,1850,174,44,9442.4,no,51,94350,2025-02-10,84907.6
1002,Customer_1002,customer1002@mail.com,storing,Barley,2024-03-11,2024-04-01,139,6950,21,39,3794.7,no,39,0,2024-04-01,-3794.7
1481,Customer_1481,customer1481@mail.com,storing,Sorghum,2023-07-02,2023-11-25,192,4800,146,49,45785.6,partial,49,235200,2023-11-25,189414.4
1152,Customer_1152,customer1152@mail.com,storing,Wheat,2024-02-07,2024-02-23,117,2925,16,39,2433.6,partial,26,0,2024-02-23,-2433.6
1780,Customer_1780,customer1780@mail.com,storing,Barley,2023-04-08,2023-04-20,109,5450,12,37,1613.2,partial,37,0,2023-04-20,-1613.2
1428,Customer_1428,customer1428@mail.com,sold,Rice,2024-04-16,2024-09-03,77,3850,140,30,10780.0,no,25,96250,2024-09-03,85470.0
734,Customer_734,customer734@mail.com,sold,Sorghum,2023-07-22,2024-01-14,158,7900,176,46,42638.93,partial,51,0,2024-01-14,-42638.93
1576,Customer_1576,customer1576@mail.com,stored,Rice,2023-11-13,2023-12-24,140,7000,41,31,5931.33,no,35,0,2023-12-24,-5931.33
109,Customer_109,customer109@mail.com,storing,Rice,2023-01-30,2023-02-28,28,1400,29,40,1082.67,yes,38,53200,2023-02-28,52117.33
963,Customer_963,customer963@mail.com,storing,Sorghum,2024-06-10,2024-11-08,115,5750,151,54,31257.0,no,25,143750,2024-11-08,112493.0
1695,Customer_1695,customer1695@mail.com,storing,Millet,2023-01-14,2023-04-15,171,8550,91,57,29565.9,yes,27,230850,2023-04-15,201284.1
1952,Customer_1952,customer1952@mail.com,stored,Maize,2023-12-30,2024-02-22,152,3800,54,29,7934.4,no,26,98800,2024-02-22,90865.6
93,Customer_93,customer93@mail.com,sold,Sorghum,2024-06-20,2024-08-08,175,4375,49,48,13720.0,no,50,218750,2024-08-08,205030.0
943,Customer_943,customer943@mail.com,storing,Sorghum,2024-06-15,2024-08-13,100,5000,59,31,6096.67,partial,48,0,2024-08-13,-6096.67
1953,Customer_1953,customer1953@mail.com,storing,Maize,2023-02-20,2023-06-16,116,2900,116,23,10316.27,yes,25,72500,2023-06-16,62183.73
878,Customer_878,customer878@mail.com,sold,Wheat,2023-08-09,2023-11-17,126,6300,100,50,21000.0,partial,34,0,2023-11-17,-21000.0
1550,Customer_1550,customer1550@mail.com,stored,Millet,2023-06-03,2023-09-21,98,2450,110,58,20841.33,yes,41,0,2023-09-21,-20841.33
1235,Customer_1235,customer1235@mail.com,stored,Millet,2024-06-26,2024-09-17,28,1400,83,57,4415.6,no,25,35000,2024-09-17,30584.4
341,Customer_341,customer341@mail.com,sold,Millet,2023-09-24,2024-02-15,87,2175,144,24,10022.4,yes,25,0,2024-02-15,-10022.4
681,Customer_681,customer681@mail.com,stored,Millet,2023-04-12,2023-06-23,142,3550,72,26,8860.8,yes,44,0,2023-06-23,-8860.8
1957,Customer_1957,customer1957@mail.com,storing,Millet,2023-03-08,2023-08-19,95,4750,164,30,15580.0,yes,36,171000,2023-08-19,155420.0
218,Customer_218,customer218@mail.com,stored,Sorghum,2023-04-04,2023-08-12,112,5600,130,38,18442.67,partial,25,140000,2023-08-12,121557.33
177,Customer_177,customer177@mail.com,storing,Millet,2023-12-13,2024-05-22,55,1375,161,44,12987.33,partial,29,0,2024-05-22,-12987.33
1715,Customer_1715,customer1715@mail.com,stored,Rice,2023-01-21,2023-05-14,200,10000,113,59,44446.67,yes,32,320000,2023-05-14,275553.33
979,Customer_979,customer979@mail.com,sold,Sorghum,2023-08-01,2023-10-10,144,7200,70,23,7728.0,partial,53,0,2023-10-10,-7728.0
367,Customer_367,customer367@mail.com,sold,Maize,2023-06-01,2023-08-28,34,1700,88,37,3690.13,no,53,90100,2023-08-28,86409.87
1519,Customer_1519,customer1519@mail.com,stored,Sorghum,2024-02-06,2024-05-12,109,2725,96,43,14998.4,partial,25,0,2024-05-12,-14998.4
1156,Customer_1156,customer1156@mail.com,storing,Wheat,2023-06-24,2023-09-25,148,7400,93,52,23857.6,no,34,251600,2023-09-25,227742.4
644,Customer_644,customer644@mail.com,storing,Maize,2023-03-20,2023-05-29,93,2325,70,34,7378.0,yes,25,0,2023-05-29,-7378.0
393,Customer_393,customer393@mail.com,sold,Millet,2023-05-20,2023-07-09,76,3800,50,42,5320.0,partial,41,0,2023-07-09,-5320.0
1845,Customer_1845,customer1845@mail.com,stored,Millet,2024-03-14,2024-07-21,159,7950,129,27,18459.9,partial,41,325950,2024-07-21,307490.1
913,Customer_913,customer913@mail.com,sold,Barley,2024-05-26,2024-11-18,44,1100,176,36,9292.8,partial,45,0,2024-11-18,-9292.8
877,Customer_877,customer877@mail.com,storing,Wheat,2024-05-21,2024-11-11,64,1600,174,39,14476.8,yes,54,0,2024-11-11,-14476.8
1387,Customer_1387,customer1387@mail.com,sold,Sorghum,2024-08-22,2024-11-13,36,900,83,29,2888.4,no,31,0,2024-11-13,-2888.4
146,Customer_146,customer146@mail.com,storing,Rice,2024-01-25,2024-03-01,165,8250,36,24,4752.0,no,31,255750,2024-03-01,250998.0
60,Customer_60,customer60@mail.com,stored,Millet,2024-01-12,2024-01-26,15,750,14,45,315.0,yes,50,37500,2024-01-26,37185.0
359,Customer_359,customer359@mail.com,sold,Sorghum,2023-03-12,2023-08-01,195,9750,142,48,44304.0,partial,35,0,2023-08-01,-44304.0
1331,Customer_1331,customer1331@mail.com,stored,Barley,2023-02-22,2023-05-21,182,9100,88,41,21888.53,yes,31,282100,2023-05-21,260211.47
620,Customer_620,customer620@mail.com,storing,Barley,2024-07-05,2024-08-24,66,1650,50,58,6380.0,yes,43,70950,2024-08-24,64570.0
696,Customer_696,customer696@mail.com,sold,Wheat,2024-05-09,2024-07-30,141,7050,82,31,11947.4,yes,51,0,2024-07-30,-11947.4
33,Customer_33,customer33@mail.com,storing,Rice,2024-04-03,2024-07-19,183,4575,107,20,13054.0,yes,31,0,2024-07-19,-13054.0
1268,Customer_1268,customer1268@mail.com,storing,Sorghum,2023-12-26,2024-01-05,88,4400,10,34,997.33,partial,51,0,2024-01-05,-997.33
1470,Customer_1470,customer1470@mail.com,storing,Maize,2024-02-22,2024-06-10,183,4575,109,31,20611.9,partial,47,0,2024-06-10,-20611.9
1336,Customer_1336,customer1336@mail.com,stored,Maize,2023-11-16,2024-01-26,138,3450,71,44,14370.4,no,30,103500,2024-01-26,89129.6
35,Customer_35,customer35@mail.com,stored,Maize,2023-07-17,2023-08-13,158,7900,27,52,7394.4,no,30,0,2023-08-13,-7394.4
597,Customer_597,customer597@mail.com,stored,Maize,2024-04-26,2024-05-14,115,2875,18,29,2001.0,partial,44,0,2024-05-14,-2001.0
1821,Customer_1821,customer1821@mail.com,storing,Millet,2024-08-09,2024-09-25,63,1575,47,50,4935.0,partial,25,0,2024-09-25,-4935.0
1120,Customer_1120,customer1120@mail.com,stored,Maize,2023-12-19,2024-03-30,146,3650,102,20,9928.0,yes,55,0,2024-03-30,-9928.0
934,Customer_934,customer934@mail.com,stored,Barley,2023-12-31,2024-04-28,121,6050,119,60,28798.0,no,26,157300,2024-04-28,128502.0
245,Customer_245,customer245@mail.com,storing,Maize,2023-01-21,2023-02-08,116,2900,18,29,2018.4,partial,25,72500,2023-02-08,70481.6
1825,Customer_1825,customer1825@mail.com,storing,Sorghum,2024-08-02,2024-09-27,192,9600,56,24,8601.6,no,36,0,2024-09-27,-8601.6
928,Customer_928,customer928@mail.com,storing,Barley,2023-03-01,2023-04-26,158,3950,56,39,11502.4,yes,42,165900,2023-04-26,154397.6
1121,Customer_1121,customer1121@mail.com,stored,Barley,2024-02-15,2024-03-26,192,4800,40,35,8960.0,partial,25,0,2024-03-26,-8960.0
1149,Customer_1149,customer1149@mail.com,stored,Sorghum,2023-02-24,2023-05-09,133,3325,74,56,18371.73,partial,50,0,2023-05-09,-18371.73
418,Customer_418,customer418@mail.com,sold,Millet,2023-09-17,2023-10-27,138,6900,40,24,4416.0,no,28,193200,2023-10-27,188784.0
1069,Customer_1069,customer1069@mail.com,storing,Wheat,2023-12-31,2024-05-06,78,3900,127,35,11557.0,yes,27,105300,2024-05-06,93743.0
1052,Customer_1052,customer1052@mail.com,sold,Rice,2024-06-28,2024-11-01,129,6450,126,59,31966.2,partial,49,0,2024-11-01,-31966.2
1154,Customer_1154,customer1154@mail.com,sold,Millet,2023-10-23,2024-04-06,115,5750,166,47,29907.67,partial,29,166750,2024-04-06,136842.33
770,Customer_770,customer770@mail.com,sold,Barley,2024-05-19,2024-06-13,65,1625,25,52,2816.67,partial,36,0,2024-06-13,-2816.67
1126,Customer_1126,customer1126@mail.com,stored,Barley,2023-01-17,2023-04-30,92,4600,103,55,17372.67,no,28,0,2023-04-30,-17372.67
121,Customer_121,customer121@mail.com,storing,Rice,2024-01-23,2024-02-24,82,2050,32,38,3323.73,no,41,0,2024-02-24,-3323.73
1006,Customer_1006,customer1006@mail.com,sold,Rice,2024-04-08,2024-08-10,183,9150,124,33,24961.2,yes,45,411750,2024-08-10,386788.8
1138,Customer_1138,customer1138@mail.com,storing,Barley,2023-02-12,2023-04-12,159,7950,59,45,14071.5,partial,51,405450,2023-04-12,391378.5
1383,Customer_1383,customer1383@mail.com,stored,Millet,2024-05-15,2024-08-19,116,2900,96,35,12992.0,yes,25,72500,2024-08-19,59508.0
230,Customer_230,customer230@mail.com,storing,Rice,2024-02-13,2024-06-17,40,2000,125,48,8000.0,yes,27,54000,2024-06-17,46000.0
180,Customer_180,customer180@mail.com,stored,Maize,2024-07-16,2024-10-19,87,2175,95,40,11020.0,no,35,76125,2024-10-19,65105.0
415,Customer_415,customer415@mail.com,sold,Wheat,2023-06-20,2023-09-16,79,1975,88,40,9269.33,yes,40,79000,2023-09-16,69730.67
90,Customer_90,customer90@mail.com,stored,Maize,2024-03-11,2024-06-17,156,3900,98,59,30066.4,partial,54,0,2024-06-17,-30066.4
121,Customer_121,customer121@mail.com,storing,Wheat,2024-04-01,2024-07-12,141,7050,102,25,11985.0,partial,51,359550,2024-07-12,347565.0
323,Customer_323,customer323@mail.com,sold,Wheat,2023-11-03,2023-12-16,28,700,43,43,1725.73,partial,40,0,2023-12-16,-1725.73
1153,Customer_1153,customer1153@mail.com,storing,Millet,2024-01-17,2024-06-15,64,3200,150,53,16960.0,yes,28,0,2024-06-15,-16960.0
1838,Customer_1838,customer1838@mail.com,stored,Wheat,2024-05-08,2024-10-03,77,1925,148,50,18993.33,yes,40,77000,2024-10-03,58006.67
621,Customer_621,customer621@mail.com,storing,Wheat,2024-06-25,2024-11-30,165,4125,158,47,40843.0,yes,48,198000,2024-11-30,157157.0
1704,Customer_1704,customer1704@mail.com,sold,Rice,2023-07-03,2023-10-09,133,6650,98,45,19551.0,no,41,272650,2023-10-09,253099.0
688,Customer_688,customer688@mail.com,storing,Rice,2024-07-12,2024-07-29,180,4500,17,40,4080.0,no,32,144000,2024-07-29,139920.0
1167,Customer_1167,customer1167@mail.com,stored,Sorghum,2024-01-18,2024-03-01,160,4000,43,27,6192.0,yes,50,200000,2024-03-01,193808.0
966,Customer_966,customer966@mail.com,sold,Rice,2023-06-27,2023-09-01,180,4500,66,44,17424.0,yes,34,0,2023-09-01,-17424.0
1983,Customer_1983,customer1983@mail.com,stored,Wheat,2023-06-27,2023-10-30,82,4100,125,48,16400.0,no,43,176300,2023-10-30,159900.0
1630,Customer_1630,customer1630@mail.com,storing,Millet,2023-07-29,2023-08-09,200,10000,11,36,2640.0,yes,37,0,2023-08-09,-2640.0
763,Customer_763,customer763@mail.com,sold,Wheat,2023-09-12,2023-12-06,113,2825,85,30,9605.0,no,51,0,2023-12-06,-9605.0
601,Customer_601,customer601@mail.com,storing,Rice,2023-02-17,2023-08-06,31,1550,170,29,5094.33,partial,27,41850,2023-08-06,36755.67
1194,Customer_1194,customer1194@mail.com,sold,Sorghum,2024-04-14,2024-08-13,95,2375,121,31,11878.17,yes,35,0,2024-08-13,-11878.17
362,Customer_362,customer362@mail.com,storing,Sorghum,2024-07-20,2024-09-24,195,9750,66,35,15015.0,no,44,0,2024-09-24,-15015.0
551,Customer_551,customer551@mail.com,sold,Wheat,2024-04-16,2024-09-02,129,6450,139,43,25701.1,partial,55,0,2024-09-02,-25701.1
1416,Customer_1416,customer1416@mail.com,sold,Wheat,2023-01-01,2023-03-04,81,4050,62,42,7030.8,partial,45,0,2023-03-04,-7030.8
804,Customer_804,customer804@mail.com,sold,Sorghum,2023-12-09,2024-06-01,193,9650,175,54,60795.0,partial,25,0,2024-06-01,-60795.0
1760,Customer_1760,customer1760@mail.com,storing,Rice,2024-04-12,2024-05-05,40,2000,23,46,1410.67,no,46,92000,2024-05-05,90589.33
958,Customer_958,customer958@mail.com,sold,Rice,2024-03-12,2024-04-29,58,2900,48,29,2691.2,partial,38,110200,2024-04-29,107508.8
1509,Customer_1509,customer1509@mail.com,stored,Millet,2023-04-25,2023-06-05,166,8300,41,58,13158.27,yes,47,390100,2023-06-05,376941.73
1052,Customer_1052,customer1052@mail.com,stored,Barley,2023-10-02,2024-01-30,48,2400,120,27,5184.0,partial,53,127200,2024-01-30,122016.0
513,Customer_513,customer513@mail.com,stored,Millet,2024-06-02,2024-08-28,200,5000,87,20,11600.0,partial,53,265000,2024-08-28,253400.0
